Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Golakganj,Deepa Das,Independent,3100,31,3131,1.92,162733,3131,68089,False
Gauripur,Anita Das,Bharatiya Janata Party,63060,636,63696,25.69,247921,63696,63696,True
Gauripur,Ramesh Sharma,Asom Gana Parishad,49827,503,50330,20.3,247921,50330,63696,False
Gauripur,Priya Nair,None of the Above,37616,379,37995,15.33,247921,37995,63696,False
Gauripur,Priya Das,All India United Democratic Front,36785,371,37156,14.99,247921,37156,63696,False
Gauripur,Manoj Menon,Indian National Congress,18552,187,18739,7.56,247921,18739,63696,False
Gauripur,Amit Sen,Independent,491,4,495,0.2,247921,495,63696,False
Dhubri,Anjali Sharma,Bharatiya Janata Party,89607,905,90512,38.7,233875,90512,90512,True
Dhubri,Anita Patel,Asom Gana Parishad,43879,443,44322,18.95,233875,44322,90512,False
Dhubri,Rahul Bora,Indian National Congress,43321,437,43758,18.71,233875,43758,90512,False
Dhubri,Kavita Roy,None of the Above,13277,134,13411,5.73,233875,13411,90512,False
Dhubri,Kavita Reddy,All India United Democratic Front,1817,18,1835,0.78,233875,1835,90512,False
Dhubri,Anjali Menon,Independent,1749,17,1766,0.76,233875,1766,90512,False
Birsing Jarua,Priya Reddy,Asom Gana Parishad,66375,670,67045,34.6,193763,67045,67045,True
Birsing Jarua,Priya Menon,Bharatiya Janata Party,47623,481,48104,24.83,193763,48104,67045,False
Birsing Jarua,Sanjay Kumar,None of the Above,19877,200,20077,10.36,193763,20077,67045,False
Birsing Jarua,Anjali Bora,All India United Democratic Front,17453,176,17629,9.1,193763,17629,67045,False
Birsing Jarua,Priya Reddy,Indian National Congress,11960,120,12080,6.23,193763,12080,67045,False
Birsing Jarua,Deepa Roy,Independent,2418,24,2442,1.26,193763,2442,67045,False
Bilasipara,Kavita Singh,Bharatiya Janata Party,83575,844,84419,36.96,228423,84419,84419,True
Bilasipara,Priya Roy,Asom Gana Parishad,66074,667,66741,29.22,228423,66741,84419,False
Bilasipara,Amit Menon,None of the Above,19706,199,19905,8.71,228423,19905,84419,False
Bilasipara,Rahul Nair,Indian National Congress,7575,76,7651,3.35,228423,7651,84419,False
Bilasipara,Priya Sharma,All India United Democratic Front,2184,22,2206,0.97,228423,2206,84419,False
Bilasipara,Suresh Reddy,Independent,174,1,175,0.08,228423,175,84419,False
Mankachar,Ramesh Reddy,Asom Gana Parishad,37238,376,37614,23.05,163185,37614,37614,True
Mankachar,Sanjay Gogoi,Indian National Congress,26473,267,26740,16.39,163185,26740,37614,False
Mankachar,Anjali Sharma,All India United Democratic Front,24699,249,24948,15.29,163185,24948,37614,False
Mankachar,Anjali Reddy,None of the Above,20081,202,20283,12.43,163185,20283,37614,False
Mankachar,Rahul Sen,Bharatiya Janata Party,14666,148,14814,9.08,163185,14814,37614,False
Mankachar,Ramesh Das,Independent,1302,13,1315,0.81,163185,1315,37614,False
Jaleshwar,Rahul Das,Bharatiya Janata Party,58257,588,58845,28.97,203137,58845,58845,True
Jaleshwar,Deepa Singh,Asom Gana Parishad,43888,443,44331,21.82,203137,44331,58845,False
Jaleshwar,Rahul Sen,Indian National Congress,39102,394,39496,19.44,203137,39496,58845,False
Jaleshwar,Ramesh Sharma,All India United Democratic Front,12811,129,12940,6.37,203137,12940,58845,False
Jaleshwar,Amit Das,None of the Above,1039,10,1049,0.52,203137,1049,58845,False
Jaleshwar,Ramesh Reddy,Independent,916,9,925,0.46,203137,925,58845,False
Goalpara West,Kavita Singh,Bharatiya Janata Party,82402,832,83234,35.53,234292,83234,83234,True
Goalpara West,Anita Singh,Indian National Congress,42608,430,43038,18.37,234292,43038,83234,False
Goalpara West,Priya Bora,All India United Democratic Front,36990,373,37363,15.95,234292,37363,83234,False
Goalpara West,Suresh Patel,Asom Gana Parishad,24970,252,25222,10.77,234292,25222,83234,False
Goalpara West,Amit Nair,Independent,2259,22,2281,0.97,234292,2281,83234,False
Goalpara West,Priya Roy,None of the Above,221,2,223,0.1,234292,223,83234,False
Goalpara East,Sanjay Nair,Asom Gana Parishad,61080,616,61696,40.51,152281,61696,61696,True
Goalpara East,Rahul Roy,None of the Above,15373,155,15528,10.2,152281,15528,61696,False
Goalpara East,Suresh Roy,Indian National Congress,13772,139,13911,9.14,152281,13911,61696,False
Goalpara East,Priya Roy,All India United Democratic Front,9217,93,9310,6.11,152281,9310,61696,False
Goalpara East,Amit Nair,Independent,3998,40,4038,2.65,152281,4038,61696,False
Goalpara East,Manoj Bora,Bharatiya Janata Party,3525,35,3560,2.34,152281,3560,61696,False
Dudhnai,Amit Nair,Indian National Congress,53005,535,53540,28.28,189350,53540,53540,True
Dudhnai,Suresh Gogoi,Asom Gana Parishad,30342,306,30648,16.19,189350,30648,53540,False
Dudhnai,Sunil Sen,Bharatiya Janata Party,12264,123,12387,6.54,189350,12387,53540,False
Dudhnai,Rahul Nair,All India United Democratic Front,9384,94,9478,5.01,189350,9478,53540,False
Dudhnai,Kavita Sharma,None of the Above,672,6,678,0.36,189350,678,53540,False
Dudhnai,Sanjay Das,Independent,619,6,625,0.33,189350,625,53540,False
Abhayapuri,Kavita Sen,All India United Democratic Front,77835,786,78621,31.89,246522,78621,78621,True
Abhayapuri,Ramesh Singh,Asom Gana Parishad,36303,366,36669,14.87,246522,36669,78621,False
Abhayapuri,Anjali Roy,Indian National Congress,26821,270,27091,10.99,246522,27091,78621,False
Abhayapuri,Ramesh Kumar,None of the Above,4622,46,4668,1.89,246522,4668,78621,False
Abhayapuri,Manoj Roy,Independent,2344,23,2367,0.96,246522,2367,78621,False
Abhayapuri,Sunil Sharma,Bharatiya Janata Party,961,9,970,0.39,246522,970,78621,False
Srijangram,Manoj Das,Bharatiya Janata Party,95182,961,96143,47.27,203402,96143,96143,True
Srijangram,Anita Roy,Asom Gana Parishad,36034,363,36397,17.89,203402,36397,96143,False
Srijangram,Anjali Bora,All India United Democratic Front,30555,308,30863,15.17,203402,30863,96143,False
Srijangram,Anjali Sharma,None of the Above,2718,27,2745,1.35,203402,2745,96143,False
Srijangram,Amit Gogoi,Indian National Congress,1322,13,1335,0.66,203402,1335,96143,False
Srijangram,Suresh Das,Independent,639,6,645,0.32,203402,645,96143,False
Bongaigaon,Ramesh Patel,Bharatiya Janata Party,113564,1147,114711,46.38,247325,114711,114711,True
Bongaigaon,Anita Nair,Indian National Congress,36627,369,36996,14.96,247325,36996,114711,False
Bongaigaon,Deepa Reddy,All India United Democratic Front,36584,369,36953,14.94,247325,36953,114711,False
Bongaigaon,Priya Sharma,Asom Gana Parishad,17891,180,18071,7.31,247325,18071,114711,False
Bongaigaon,Kavita Roy,None of the Above,8076,81,8157,3.3,247325,8157,114711,False
Bongaigaon,Anita Menon,Independent,4021,40,4061,1.64,247325,4061,114711,False
Sidli–Chirang,Ramesh Singh,Bharatiya Janata Party,45275,457,45732,27.11,168721,45732,45732,True
Sidli–Chirang,Suresh Sharma,All India United Democratic Front,38562,389,38951,23.09,168721,38951,45732,False
Sidli–Chirang,Kavita Das,Asom Gana Parishad,22263,224,22487,13.33,168721,22487,45732,False
Sidli–Chirang,Amit Gogoi,Indian National Congress,6694,67,6761,4.01,168721,6761,45732,False
Sidli–Chirang,Anita Gogoi,None of the Above,2312,23,2335,1.38,168721,2335,45732,False
Sidli–Chirang,Priya Roy,Independent,1064,10,1074,0.64,168721,1074,45732,False
Bijni,Priya Singh,Bharatiya Janata Party,41987,424,42411,24.38,173953,42411,42411,True
Bijni,Kavita Bora,Asom Gana Parishad,33164,334,33498,19.26,173953,33498,42411,False
Bijni,Suresh Roy,Indian National Congress,29975,302,30277,17.41,173953,30277,42411,False
Bijni,Priya Sharma,All India United Democratic Front,22577,228,22805,13.11,173953,22805,42411,False
Bijni,Kavita Das,None of the Above,18055,182,18237,10.48,173953,18237,42411,False
Bijni,Manoj Nair,Independent,996,10,1006,0.58,173953,1006,42411,False
Bhowanipur–Sorbhog,Rahul Sen,None of the Above,26930,272,27202,11.4,238624,27202,27202,True
Bhowanipur–Sorbhog,Anita Bora,Bharatiya Janata Party,25645,259,25904,10.86,238624,25904,27202,False
Bhowanipur–Sorbhog,Sunil Patel,Indian National Congress,14643,147,14790,6.2,238624,14790,27202,False
Bhowanipur–Sorbhog,Kavita Nair,All India United Democratic Front,13196,133,13329,5.59,238624,13329,27202,False
Bhowanipur–Sorbhog,Manoj Das,Asom Gana Parishad,3563,35,3598,1.51,238624,3598,27202,False
Bhowanipur–Sorbhog,Kavita Bora,Independent,3421,34,3455,1.45,238624,3455,27202,False
Mandia,Ramesh Roy,Bharatiya Janata Party,75158,759,75917,37.12,204514,75917,75917,True
Mandia,Amit Sen,Asom Gana Parishad,40800,412,41212,20.15,204514,41212,75917,False
Mandia,Priya Patel,All India United Democratic Front,25099,253,25352,12.4,204514,25352,75917,False
Mandia,Priya Kumar,None of the Above,20825,210,21035,10.29,204514,21035,75917,False
Mandia,Anita Bora,Indian National Congress,4794,48,4842,2.37,204514,4842,75917,False
Mandia,Sanjay Das,Independent,1734,17,1751,0.86,204514,1751,75917,False
Chenga,Anjali Das,Asom Gana Parishad,62990,636,63626,36.22,175663,63626,63626,True
Chenga,Priya Sen,Indian National Congress,39800,402,40202,22.89,175663,40202,63626,False
Chenga,Ramesh Sen,All India United Democratic Front,30876,311,31187,17.75,175663,31187,63626,False
Chenga,Anita Menon,None of the Above,14949,150,15099,8.6,175663,15099,63626,False
Chenga,Rahul Bora,Independent,4075,41,4116,2.34,175663,4116,63626,False
Chenga,Manoj Singh,Bharatiya Janata Party,160,1,161,0.09,175663,161,63626,False
Barpeta,Priya Gogoi,Indian National Congress,59423,600,60023,32.26,186074,60023,60023,True
Barpeta,Rahul Bora,Asom Gana Parishad,40796,412,41208,22.15,186074,41208,60023,False
Barpeta,Priya Patel,All India United Democratic Front,15935,160,16095,8.65,186074,16095,60023,False
Barpeta,Anita Das,Bharatiya Janata Party,13622,137,13759,7.39,186074,13759,60023,False
Barpeta,Kavita Menon,None of the Above,2664,26,2690,1.45,186074,2690,60023,False
Barpeta,Anita Kumar,Independent,846,8,854,0.46,186074,854,60023,False
Pakabetbari,Kavita Das,All India United Democratic Front,44992,454,45446,22.91,198335,45446,45446,True
Pakabetbari,Priya Patel,Bharatiya Janata Party,34401,347,34748,17.52,198335,34748,45446,False
Pakabetbari,Anjali Sen,Indian National Congress,31961,322,32283,16.28,198335,32283,45446,False
Pakabetbari,Rahul Kumar,Asom Gana Parishad,21795,220,22015,11.1,198335,22015,45446,False
Pakabetbari,Rahul Sen,None of the Above,20514,207,20721,10.45,198335,20721,45446,False
Pakabetbari,Anjali Bora,Independent,2614,26,2640,1.33,198335,2640,45446,False
Bajali,Amit Menon,Bharatiya Janata Party,85794,866,86660,47.69,181703,86660,86660,True
Bajali,Priya Singh,All India United Democratic Front,26766,270,27036,14.88,181703,27036,86660,False
Bajali,Sanjay Menon,Asom Gana Parishad,18904,190,19094,10.51,181703,19094,86660,False
Bajali,Anjali Das,None of the Above,14437,145,14582,8.03,181703,14582,86660,False
Bajali,Rahul Reddy,Indian National Congress,14273,144,14417,7.93,181703,14417,86660,False
Bajali,Anita Nair,Independent,1176,11,1187,0.65,181703,1187,86660,False
Chamaria,Rahul Gogoi,Bharatiya Janata Party,63412,640,64052,38.39,166854,64052,64052,True
Chamaria,Rahul Kumar,None of the Above,29807,301,30108,18.04,166854,30108,64052,False
Chamaria,Ramesh Nair,Indian National Congress,17453,176,17629,10.57,166854,17629,64052,False
Chamaria,Suresh Gogoi,Asom Gana Parishad,12504,126,12630,7.57,166854,12630,64052,False
Chamaria,Deepa Roy,All India United Democratic Front,4754,48,4802,2.88,166854,4802,64052,False
Chamaria,Deepa Kumar,Independent,1737,17,1754,1.05,166854,1754,64052,False
Boko–Chaygaon,Rahul Roy,Indian National Congress,57798,583,58381,23.8,245311,58381,58381,True
Boko–Chaygaon,Manoj Patel,None of the Above,50001,505,50506,20.59,245311,50506,58381,False
Boko–Chaygaon,Kavita Reddy,Bharatiya Janata Party,29328,296,29624,12.08,245311,29624,58381,False
Boko–Chaygaon,Rahul Gogoi,All India United Democratic Front,16587,167,16754,6.83,245311,16754,58381,False
Boko–Chaygaon,Amit Singh,Asom Gana Parishad,808,8,816,0.33,245311,816,58381,False
Boko–Chaygaon,Sanjay Reddy,Independent,330,3,333,0.14,245311,333,58381,False
Palasbari,Sanjay Das,Asom Gana Parishad,61143,617,61760,36.52,169110,61760,61760,True
Palasbari,Amit Kumar,Indian National Congress,43159,435,43594,25.78,169110,43594,61760,False
Palasbari,Deepa Patel,All India United Democratic Front,18521,187,18708,11.06,169110,18708,61760,False
Palasbari,Sanjay Nair,None of the Above,6847,69,6916,4.09,169110,6916,61760,False
Palasbari,Amit Roy,Bharatiya Janata Party,4963,50,5013,2.96,169110,5013,61760,False
Palasbari,Rahul Nair,Independent,293,2,295,0.17,169110,295,61760,False
Hajo–Sualkuchi,Amit Bora,Asom Gana Parishad,81354,821,82175,34.26,239842,82175,82175,True
Hajo–Sualkuchi,Sunil Das,Indian National Congress,56172,567,56739,23.66,239842,56739,82175,False
Hajo–Sualkuchi,Amit Bora,Bharatiya Janata Party,36703,370,37073,15.46,239842,37073,82175,False
Hajo–Sualkuchi,Anita Bora,None of the Above,22125,223,22348,9.32,239842,22348,82175,False
Hajo–Sualkuchi,Sunil Bora,All India United Democratic Front,12806,129,12935,5.39,239842,12935,82175,False
Hajo–Sualkuchi,Sanjay Gogoi,Independent,3203,32,3235,1.35,239842,3235,82175,False
Rangiya,Amit Menon,Asom Gana Parishad,53662,542,54204,26.82,202132,54204,54204,True
Rangiya,Anjali Roy,Indian National Congress,43784,442,44226,21.88,202132,44226,54204,False
Rangiya,Amit Sharma,Bharatiya Janata Party,35570,359,35929,17.78,202132,35929,54204,False
Rangiya,Manoj Das,None of the Above,22965,231,23196,11.48,202132,23196,54204,False
Rangiya,Ramesh Singh,All India United Democratic Front,14454,146,14600,7.22,202132,14600,54204,False
Rangiya,Deepa Bora,Independent,4629,46,4675,2.31,202132,4675,54204,False
Kamalpur,Rahul Patel,Bharatiya Janata Party,66176,668,66844,36.91,181076,66844,66844,True
Kamalpur,Deepa Sen,Asom Gana Parishad,56009,565,56574,31.24,181076,56574,66844,False
Kamalpur,Anjali Nair,All India United Democratic Front,17961,181,18142,10.02,181076,18142,66844,False
Kamalpur,Sunil Kumar,Indian National Congress,7300,73,7373,4.07,181076,7373,66844,False
Kamalpur,Ramesh Singh,None of the Above,1920,19,1939,1.07,181076,1939,66844,False
Kamalpur,Suresh Singh,Independent,1477,14,1491,0.82,181076,1491,66844,False
Dispur,Manoj Gogoi,Bharatiya Janata Party,57951,585,58536,32.16,181993,58536,58536,True
Dispur,Ramesh Reddy,Indian National Congress,34355,347,34702,19.07,181993,34702,58536,False
Dispur,Rahul Reddy,Asom Gana Parishad,26535,268,26803,14.73,181993,26803,58536,False
Dispur,Deepa Nair,None of the Above,14937,150,15087,8.29,181993,15087,58536,False
Dispur,Manoj Menon,All India United Democratic Front,10048,101,10149,5.58,181993,10149,58536,False
Dispur,Amit Roy,Independent,1978,19,1997,1.1,181993,1997,58536,False
Dimoria,Priya Patel,Bharatiya Janata Party,61253,618,61871,35.62,173707,61871,61871,True
Dimoria,Suresh Roy,Asom Gana Parishad,52789,533,53322,30.7,173707,53322,61871,False
Dimoria,Kavita Sen,Indian National Congress,15487,156,15643,9.01,173707,15643,61871,False
Dimoria,Sanjay Reddy,All India United Democratic Front,13038,131,13169,7.58,173707,13169,61871,False
Dimoria,Ramesh Sharma,Independent,4770,48,4818,2.77,173707,4818,61871,False
Dimoria,Ramesh Menon,None of the Above,3810,38,3848,2.22,173707,3848,61871,False
New Guwahati,Anjali Singh,Asom Gana Parishad,105869,1069,106938,46.12,231861,106938,106938,True
New Guwahati,Amit Sharma,All India United Democratic Front,23972,242,24214,10.44,231861,24214,106938,False
New Guwahati,Sanjay Sharma,Indian National Congress,10996,111,11107,4.79,231861,11107,106938,False
New Guwahati,Kavita Bora,Bharatiya Janata Party,4462,45,4507,1.94,231861,4507,106938,False
New Guwahati,Sunil Bora,None of the Above,3826,38,3864,1.67,231861,3864,106938,False
New Guwahati,Ramesh Bora,Independent,3322,33,3355,1.45,231861,3355,106938,False
Guwahati Central,Sanjay Roy,Asom Gana Parishad,77490,782,78272,34.16,229125,78272,78272,True
Guwahati Central,Ramesh Patel,Bharatiya Janata Party,31811,321,32132,14.02,229125,32132,78272,False
Guwahati Central,Sanjay Gogoi,Indian National Congress,23906,241,24147,10.54,229125,24147,78272,False
Guwahati Central,Rahul Sharma,All India United Democratic Front,22741,229,22970,10.03,229125,22970,78272,False
Guwahati Central,Kavita Reddy,None of the Above,21012,212,21224,9.26,229125,21224,78272,False
Guwahati Central,Amit Roy,Independent,2746,27,2773,1.21,229125,2773,78272,False
Jalukbari,Priya Sen,Bharatiya Janata Party,83101,839,83940,41.34,203064,83940,83940,True
Jalukbari,Rahul Bora,Asom Gana Parishad,42535,429,42964,21.16,203064,42964,83940,False
Jalukbari,Rahul Reddy,Indian National Congress,25501,257,25758,12.68,203064,25758,83940,False
Jalukbari,Suresh Roy,All India United Democratic Front,15312,154,15466,7.62,203064,15466,83940,False
Jalukbari,Ramesh Nair,None of the Above,11001,111,11112,5.47,203064,11112,83940,False
Jalukbari,Manoj Kumar,Independent,3142,31,3173,1.56,203064,3173,83940,False
Barkhetri,Sunil Kumar,Bharatiya Janata Party,40023,404,40427,26.36,153371,40427,40427,True
Barkhetri,Rahul Singh,All India United Democratic Front,32330,326,32656,21.29,153371,32656,40427,False
Barkhetri,Sanjay Sen,Asom Gana Parishad,28889,291,29180,19.03,153371,29180,40427,False
Barkhetri,Sunil Reddy,Indian National Congress,13063,131,13194,8.6,153371,13194,40427,False
Barkhetri,Kavita Das,None of the Above,10009,101,10110,6.59,153371,10110,40427,False
Barkhetri,Manoj Singh,Independent,4461,45,4506,2.94,153371,4506,40427,False
Nalbari,Manoj Kumar,Indian National Congress,65973,666,66639,26.82,248442,66639,66639,True
Nalbari,Deepa Roy,Asom Gana Parishad,61461,620,62081,24.99,248442,62081,66639,False
Nalbari,Suresh Bora,Bharatiya Janata Party,18434,186,18620,7.49,248442,18620,66639,False
Nalbari,Rahul Nair,All India United Democratic Front,14676,148,14824,5.97,248442,14824,66639,False
Nalbari,Suresh Nair,None of the Above,9675,97,9772,3.93,248442,9772,66639,False
Nalbari,Anita Bora,Independent,3588,36,3624,1.46,248442,3624,66639,False
Tihu,Sunil Roy,Bharatiya Janata Party,68833,695,69528,31.09,223639,69528,69528,True
Tihu,Manoj Kumar,Asom Gana Parishad,31839,321,32160,14.38,223639,32160,69528,False
Tihu,Sanjay Kumar,Indian National Congress,22626,228,22854,10.22,223639,22854,69528,False
Tihu,Sanjay Gogoi,All India United Democratic Front,10140,102,10242,4.58,223639,10242,69528,False
Tihu,Manoj Bora,None of the Above,6642,67,6709,3.0,223639,6709,69528,False
Tihu,Anita Sharma,Independent,3175,32,3207,1.43,223639,3207,69528,False
Manas,Anjali Sen,None of the Above,43420,438,43858,25.18,174198,43858,43858,True
Manas,Amit Roy,All India United Democratic Front,27916,281,28197,16.19,174198,28197,43858,False
Manas,Kavita Singh,Bharatiya Janata Party,10176,102,10278,5.9,174198,10278,43858,False
Manas,Kavita Singh,Independent,4158,42,4200,2.41,174198,4200,43858,False
Manas,Sanjay Das,Asom Gana Parishad,3873,39,3912,2.25,174198,3912,43858,False
Manas,Priya Gogoi,Indian National Congress,3043,30,3073,1.76,174198,3073,43858,False
Baksa,Anita Reddy,Indian National Congress,65400,660,66060,41.67,158537,66060,66060,True
Baksa,Deepa Bora,None of the Above,18609,187,18796,11.86,158537,18796,66060,False
Baksa,Anita Reddy,Asom Gana Parishad,13197,133,13330,8.41,158537,13330,66060,False
Baksa,Anita Menon,All India United Democratic Front,2769,27,2796,1.76,158537,2796,66060,False
Baksa,Deepa Gogoi,Independent,679,6,685,0.43,158537,685,66060,False
Baksa,Ramesh Sharma,Bharatiya Janata Party,233,2,235,0.15,158537,235,66060,False
Tamulpur,Kavita Reddy,All India United Democratic Front,61843,624,62467,26.12,239167,62467,62467,True
Tamulpur,Kavita Reddy,Asom Gana Parishad,44026,444,44470,18.59,239167,44470,62467,False
Tamulpur,Deepa Sen,Bharatiya Janata Party,28373,286,28659,11.98,239167,28659,62467,False
Tamulpur,Amit Patel,Indian National Congress,17578,177,17755,7.42,239167,17755,62467,False
Tamulpur,Kavita Nair,Independent,3872,39,3911,1.64,239167,3911,62467,False
Tamulpur,Sunil Roy,None of the Above,3119,31,3150,1.32,239167,3150,62467,False
Goreshwar,Amit Sen,Bharatiya Janata Party,47693,481,48174,20.48,235187,48174,48174,True
Goreshwar,Manoj Gogoi,Indian National Congress,44566,450,45016,19.14,235187,45016,48174,False
Goreshwar,Anjali Singh,All India United Democratic Front,32184,325,32509,13.82,235187,32509,48174,False
Goreshwar,Sunil Bora,Asom Gana Parishad,19492,196,19688,8.37,235187,19688,48174,False
Goreshwar,Manoj Reddy,Independent,4405,44,4449,1.89,235187,4449,48174,False
Goreshwar,Anjali Nair,None of the Above,1529,15,1544,0.66,235187,1544,48174,False
Bhergaon,Sunil Roy,Bharatiya Janata Party,69095,697,69792,30.52,228711,69792,69792,True
Bhergaon,Priya Sharma,Indian National Congress,52376,529,52905,23.13,228711,52905,69792,False
Bhergaon,Anita Sharma,Asom Gana Parishad,17272,174,17446,7.63,228711,17446,69792,False
Bhergaon,Kavita Reddy,All India United Democratic Front,11653,117,11770,5.15,228711,11770,69792,False
Bhergaon,Ramesh Das,None of the Above,8362,84,8446,3.69,228711,8446,69792,False
Bhergaon,Suresh Sharma,Independent,4388,44,4432,1.94,228711,4432,69792,False
Udalguri,Anita Bora,Bharatiya Janata Party,64097,647,64744,29.03,223007,64744,64744,True
Udalguri,Rahul Patel,All India United Democratic Front,53955,545,54500,24.44,223007,54500,64744,False
Udalguri,Sanjay Sharma,None of the Above,31200,315,31515,14.13,223007,31515,64744,False
Udalguri,Rahul Das,Asom Gana Parishad,1531,15,1546,0.69,223007,1546,64744,False
Udalguri,Amit Sen,Independent,1478,14,1492,0.67,223007,1492,64744,False
Udalguri,Kavita Das,Indian National Congress,1217,12,1229,0.55,223007,1229,64744,False
Majbat,Priya Menon,Asom Gana Parishad,39632,400,40032,19.19,208601,40032,40032,True
Majbat,Anjali Bora,All India United Democratic Front,29010,293,29303,14.05,208601,29303,40032,False
Majbat,Sanjay Kumar,Bharatiya Janata Party,25245,254,25499,12.22,208601,25499,40032,False
Majbat,Rahul Patel,Indian National Congress,19997,201,20198,9.68,208601,20198,40032,False
Majbat,Anita Roy,None of the Above,19206,193,19399,9.3,208601,19399,40032,False
Majbat,Anita Gogoi,Independent,2554,25,2579,1.24,208601,2579,40032,False
Tangla,Rahul Bora,Indian National Congress,57235,578,57813,31.3,184733,57813,57813,True
Tangla,Sunil Kumar,None of the Above,29855,301,30156,16.32,184733,30156,57813,False
Tangla,Suresh Gogoi,All India United Democratic Front,23246,234,23480,12.71,184733,23480,57813,False
Tangla,Sanjay Kumar,Asom Gana Parishad,19518,197,19715,10.67,184733,19715,57813,False
Tangla,Rahul Roy,Bharatiya Janata Party,13678,138,13816,7.48,184733,13816,57813,False
Tangla,Suresh Sharma,Independent,4336,43,4379,2.37,184733,4379,57813,False
Sipajhar,Ramesh Sen,Bharatiya Janata Party,58103,586,58689,31.82,184439,58689,58689,True
Sipajhar,Anjali Roy,Indian National Congress,49050,495,49545,26.86,184439,49545,58689,False
Sipajhar,Sunil Sharma,All India United Democratic Front,17408,175,17583,9.53,184439,17583,58689,False
Sipajhar,Anita Menon,Asom Gana Parishad,2274,22,2296,1.24,184439,2296,58689,False
Sipajhar,Manoj Patel,Independent,1036,10,1046,0.57,184439,1046,58689,False
Sipajhar,Ramesh Patel,None of the Above,881,8,889,0.48,184439,889,58689,False
Mangaldai,Anita Kumar,Bharatiya Janata Party,59403,600,60003,34.88,172024,60003,60003,True
Mangaldai,Priya Singh,Indian National Congress,26805,270,27075,15.74,172024,27075,60003,False
Mangaldai,Ramesh Kumar,None of the Above,16613,167,16780,9.75,172024,16780,60003,False
